Team,Player,First Name,Last Name,Age,Pos,F,D,G,C,RW,LW,RD,LD,CH 20-21,CH 21-22,CH 22-23,CH 23-24,CH 24-25,CH 25-26,CH 26-27,CH Total,CH Avg,Cap%,NMC,Expiry,UFA Expiry,RFA Expiry,27/54,Game Req,Must Protect,Under Contract 21/22,UFA,Meets Exposure,Overall,OPS,DPS,PS,GP,GAOPS,GADPS,GAPS,CH 21-22_scaled,CH Total_scaled,CH Avg_scaled,OPS_scaled,DPS_scaled,PS_scaled,GAOPS_scaled,GADPS_scaled,GAPS_scaled,Overall_scaled,CH 20-21_standard,CH 21-22_standard,CH 22-23_standard,CH 23-24_standard,CH 24-25_standard,CH 25-26_standard,CH 26-27_standard,CH Avg_standard,Overall_standard,PS_standard,GAPS_standard
ANA,Nicolas Deslauriers,Nicolas,Deslauriers,30,RW,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,False,UFA (2022),2022.0,0.0,1,1,No,1,0,1,74.0,0.0,0.4,0.5,49.0,0.0,0.5,0.6,1.0,0.6822726817277975,1.0,0.0,1.6863001335187406,0.8700690434232552,0.0,1.561383119782742,0.7529895171092722,3.3192118582081376,9.384075716119229,9.044742970319922,0.0,0.0,0.0,0.0,0.0,9.044742970319922,8.72561736968366,9.219833713896593,9.201629328738225
ANA,Isac Lundestrom,Isac,Lundestrom,21,C,1,0,0,1,0,0,0,0,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,1,1,No,0,0,0,0.0,-0.2,0.5,0.3,41.0,-0.3,0.7,0.4,0.0,0.0,0.0,-0.8160301381732835,2.1078751668984257,0.5220414260539531,-0.9761100824827004,2.33255405089495,0.539948580561283,0.0,9.352943043747084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.126906354894015,9.13152344671112
ANA,Max Jones,Max,Jones,23,LW,1,0,0,0,0,1,0,0,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,1,1,No,0,0,0,74.0,0.1,0.5,0.6,46.0,0.1,0.6,0.7,0.0,0.0,0.0,0.4080150690866417,2.1078751668984257,1.0440828521079062,0.4350055802368556,2.0790155671020205,0.9625170349135916,3.3192118582081376,9.327206701252777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72561736968366,9.266297393397881,9.236682269751778
ANA,Sam Steel,Sam,Steel,23,C,1,0,0,1,0,0,0,0,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,1,1,No,0,0,0,75.0,0.2,0.5,0.7,42.0,0.3,0.7,0.9,0.0,0.0,0.0,0.8160301381732835,2.1078751668984257,1.2180966607925572,0.952869366233112,2.277017049683165,1.2298828779451445,3.364066072508247,9.327206701252777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.940042524513661,9.31276107289917,9.306788151778886
ANA,Vinni Lettieri,Vinni,Lettieri,26,C,1,0,0,1,0,0,0,0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.9,False,UFA (2022),2022.0,0.0,22 GR,0,No,1,0,0,0.0,-0.2,0.0,-0.2,5.0,-0.2,0.0,-0.2,0.75,0.5117045112958482,0.75,-0.8160301381732835,0.0,-0.3480276173693021,-0.7146520246748341,0.0,-0.2635463309882453,0.0,9.280300141545412,8.952367622715686,0.0,0.0,0.0,0.0,0.0,8.952367622715686,0.0,8.894587957387571,8.9212058006298
ANA,Andrew Agozzino,Andrew,Agozzino,30,C,1,0,0,1,0,0,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,24 GR,0,No,0,1,0,74.0,0.0,0.0,0.1,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.174013808684651,0.0,0.0,0.1317731654941226,3.3192118582081376,9.259545026630649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72561736968366,9.033978995891438,9.026364623670458
ANA,Sam Carrick,Sam,Carrick,29,C,1,0,0,1,0,0,0,0,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.9,False,UFA (2022),2022.0,0.0,14 GR,0,No,1,0,0,0.0,0.4,0.4,0.8,13.0,1.7,1.7,3.4,0.75,0.5117045112958482,0.75,1.632060276346567,1.6863001335187406,1.3921104694772084,6.157002058737032,5.885213297642643,4.541106010874381,0.0,9.259545026630649,8.952367622715686,0.0,0.0,0.0,0.0,0.0,8.952367622715686,0.0,9.35922475240046,10.183111677117717
ANA,Chase De Leo,Chase,De Leo,25,C,1,0,0,1,0,0,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,26 GR,0,No,0,1,0,0.0,0.0,-0.1,-0.1,1.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.4215750333796851,-0.174013808684651,0.0,-0.3415525574524748,-0.1317731654941226,0.0,9.259545026630649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.941051636888862,8.956258741643353
ANA,Andrew Poturalski,Andrew,Poturalski,27,C,1,0,0,1,0,0,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,27 GR,0,No,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.259545026630649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA,Alexander Volkov,Alexander,Volkov,23,LW,1,0,0,0,0,1,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,1,1,No,0,0,0,0.0,0.9,0.6,1.5,37.0,1.4,0.9,2.3,0.0,0.0,0.0,3.672135621779776,2.5294502002781107,2.6102071302697656,4.867359735623194,3.101666467676528,2.9916070004071087,0.0,9.259545026630649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68447050890948,9.79752932596863
